index,Query,Paraphrased
0,"My daughter said we need to get on that Zoom thing so we can see the grandkids more often, but I'm just not sure how that works. Can I just open it up on my computer? Or is there more I need to be doing?","How do I download, install and set up Zoom on my computer?"
1,"I just bought a new printer, and I'm trying to connect it to the computer, but it's not happening. I've checked the cables, they're fine. What could be the problem?",Why is my new printer not connecting to my computer despite the cables being properly attached?
2,"I hear that Google Home Mini is the way to go about remembering appointments and having reminders, but I'm a bit old fashioned and technology puzzles me. Now, I did get one as a gift from my grandkids. They told me to link it with my calendar and it would tell me whenever I have an appointment. Can you guide me on how to set it up? Addressing the elephant in the room, will it snoop in my private conversations?",1. How do I set up and link my Google Home Mini to my calendar for reminders? 2. Does Google Home Mini have privacy concerns related to monitoring private conversations?
4,My emails are coming in slow. I see the spinning circle often. Internet is fine. Rebooted my laptop too. Still no improvement. What's up with that?,Why is my email loading so slowly on my laptop despite having a good internet connection and having restarted the computer?
5,"Every time I try to send an email from my phone, nothing happens. It just sits there in the Outbox. I'm not doing anything different than I usually do.",Why are the emails I attempt to send from my iPhone not being sent and instead remaining in the Outbox?
6,"Hey, my Facebook is not working like before. How do I make it normal?",How can I revert to the previous version or settings of my Facebook application as it is not behaving as expected currently?
7,"My grandkids bought me this newfangled Roku box for watching my shows, but I'm struggling with how to get it all set up. There's a 'Roku activation code' that I'm supposed to enter somewhere, but I don't even know where to start. And, come to think of it, how does this thing connect to the Internet anyway? ","How do I set up a Roku device, including entering an activation code and connecting it to my home's internet connection?"
8,"I've snapped some pictures on this new camera phone, but I'll be darned if I can figure out how to get them off the phone and onto my computer. Can you help?",How do I transfer photos from my Android phone to my Windows computer?
9,I had my grandkids over and they were messing around with my phone. Now all my emails are just gone! Where on earth did they go?,How do I recover missing emails on my Gmail account on an Android phone?
10,"My emails in Gmail aren't refreshing, what on earth is the matter?",How can I fix the issue of my emails not syncing in the Gmail application?
11,"Oh dear, I was writing a letter in Word and now I can't see it anywhere.",How do I recover an unsaved Word document that I was editing?
12,"I've got this new smartphone and somehow I can't seem to get it to show me the names of my callers. It's quite frustrating, dear.",How do I enable caller ID on my new smartphone to see who is calling me?
13,"My grandson sent me a link over my phone via text message, but when I click it, nothing happens. It's really frustrating, can't get my head around it.",Why doesn't the link that was sent to me over SMS open when I click on it from my Android phone?
14,"My daughter showed me how to do it, but I can't remember. You know, the thing that cleans all the extra bits and bobs off the computer. She says it keeps things nice and tidy, but I'm not sure what I'm supposed to press.",How do I run a disk cleanup on my computer to remove unnecessary files and optimize its performance?
15,I wanted to send an email to some people but it seems my mail thingy is ready to explode. There are too many emails piled up.,How can I manage my inbox and delete multiple emails at once to make space for new ones?
16,"My son mentioned that my computer might be running slow due to this one thing he calls 'malware'. Something to do with viruses, sounds awful. He says there’s a way to check if it's there, and even remove it, but it's all Greek to me. I'm not sure if you could guide me through, do I have to uninstall something?",How do I scan my computer for malware and remove it if found?
17,"I have this thing called Dropbox that my sons told me to use for pictures. But the other day, I deleted some pictures from my phone thinking they were safely backed up on this Dropbox thingy. But now, I can't find them there. Can you tell me how I can get them back or it is too late now?",How can I recover pictures that were deleted from my phone and were supposed to be backed up on Dropbox?
18,"I’ve been really struggling with these blasted computers lately, let me tell ya. My granddaughter set up this new Facebook thing on my laptop so I could see pictures of the grandkids, but every swirlin' time I try to log in, it tells me that it's sending some kind of security check to my phone. Now I've got a phone, but it's one of those flip ones and I don’t get these text things. I've been locked out of my Facebook for a week now. Any ideas on how to get back in without that text?",How can I bypass or change the two-factor authentication on my Facebook account if I can't receive text messages on my flip phone?
20,I have this Google thingy in my phone which keeps bringing out random pop ups. How do I stop those?,How do I disable Google notifications on my Android phone?
21,"My brand new camera isn’t working. I installed it, but it's showing offline. Am I doing something wrong?",What could be the reasons for my newly installed security camera showing as offline and how can I fix it?
22,"My grandkids have me on this thing called Skype, over the internet, so we can talk and see each other when we're far away. I've enjoyed it and all, but this one time, the sound was quiet as a mouse; I could barely hear them, though they said they could hear me just fine. I fiddled around with the volume and it's not that. I'm not too good with these gadgets, but I don't want to look a fool next time we chat. Can you help me figure this out?",How do I troubleshoot the issue of low sound on Skype when the system volume is set correctly?
23,"Hey, my Facebook account suddenly stopped showing the news updates. What happened?","Why am I not receiving news updates on my Facebook account, and how can I fix it?"
24,I'm having trouble sending this email with a picture attached. It just won't go through.,How can I troubleshoot email send failure when trying to attach a photo on my email?
